admin1,macro_region,month,year_month,year,month_number,months_since_war_start,events,fatalities,civilian_targeting_events,violence_against_civilians_events,battles,explosions_remote,strategic_developments,protests_riots,saf_events,rsf_events,distinct_actor_count,unique_locations,unique_admin2,civilian_targeting_events_next_month,target_any_civilian_targeting_next_month,target_high_civilian_targeting_next_month,civilian_actor_events,fatal_event_count,mean_latitude,mean_longitude,events_lag1,fatalities_lag1,civilian_targeting_events_lag1,violence_against_civilians_events_lag1,battles_lag1,explosions_remote_lag1,strategic_developments_lag1,protests_riots_lag1,saf_events_lag1,rsf_events_lag1,civilian_actor_events_lag1,fatal_event_count_lag1,distinct_actor_count_lag1,unique_locations_lag1,unique_admin2_lag1,events_prev3mo,fatalities_prev3mo,civilian_targeting_events_prev3mo,battles_prev3mo,explosions_remote_prev3mo
Abyei,Abyei,2023-04-01,2023-04,2023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abyei,Abyei,2023-05-01,2023-05,2023,5,1,12,36,6,6,4,0,2,0,0,0,10,10,1,1.0,1,0,8,8,9.527508333333333,28.551233333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abyei,Abyei,2023-06-01,2023-06,2023,6,2,6,21,1,1,4,0,1,0,0,0,4,3,1,2.0,1,0,2,5,9.541466666666667,28.515283333333333,12,36,6,6,4,0,2,0,0,0,8,8,10,10,1,12,36,6,4,0
Abyei,Abyei,2023-07-01,2023-07,2023,7,3,2,0,2,2,0,0,0,0,0,0,4,1,1,1.0,1,0,2,0,9.5899,28.4486,6,21,1,1,4,0,1,0,0,0,2,5,4,3,1,18,57,7,8,0
Abyei,Abyei,2023-08-01,2023-08,2023,8,4,7,11,1,1,5,0,0,1,0,0,6,6,1,5.0,1,0,1,6,9.520714285714286,28.536985714285713,2,0,2,2,0,0,0,0,0,0,2,0,4,1,1,20,57,9,8,0
Abyei,Abyei,2023-09-01,2023-09,2023,9,5,7,32,5,5,2,0,0,0,0,0,5,4,1,1.0,1,0,5,6,9.507557142857141,28.4909,7,11,1,1,5,0,0,1,0,0,1,6,6,6,1,15,32,4,9,0
Abyei,Abyei,2023-10-01,2023-10,2023,10,6,9,17,1,1,5,0,2,1,0,0,13,4,1,9.0,1,1,1,5,9.54641111111111,28.45462222222222,7,32,5,5,2,0,0,0,0,0,5,6,5,4,1,16,43,8,7,0
Abyei,Abyei,2023-11-01,2023-11,2023,11,7,11,61,9,9,0,0,0,2,0,0,4,8,1,3.0,1,0,9,8,9.488536363636364,28.488463636363637,9,17,1,1,5,0,2,1,0,0,1,5,13,4,1,23,60,7,12,0
Abyei,Abyei,2023-12-01,2023-12,2023,12,8,18,42,3,3,10,0,1,4,0,0,6,10,1,8.0,1,0,4,9,9.450866666666666,28.518577777777775,11,61,9,9,0,0,0,2,0,0,9,8,4,8,1,27,110,15,7,0
Abyei,Abyei,2024-01-01,2024-01,2024,1,9,22,95,8,8,8,0,4,2,0,0,10,14,1,13.0,1,1,11,14,9.507786363636363,28.524822727272728,18,42,3,3,10,0,1,4,0,0,4,9,6,10,1,38,120,13,15,0
