admin1,macro_region,month,year_month,year,month_number,months_since_war_start,events,fatalities,civilian_targeting_events,violence_against_civilians_events,battles,explosions_remote,strategic_developments,protests_riots,saf_events,rsf_events,distinct_actor_count,unique_locations,unique_admin2,civilian_targeting_events_next_month,target_any_civilian_targeting_next_month,target_high_civilian_targeting_next_month,civilian_actor_events,fatal_event_count,mean_latitude,mean_longitude,events_lag1,fatalities_lag1,civilian_targeting_events_lag1,violence_against_civilians_events_lag1,battles_lag1,explosions_remote_lag1,strategic_developments_lag1,protests_riots_lag1,saf_events_lag1,rsf_events_lag1,civilian_actor_events_lag1,fatal_event_count_lag1,distinct_actor_count_lag1,unique_locations_lag1,unique_admin2_lag1,events_prev3mo,fatalities_prev3mo,civilian_targeting_events_prev3mo,battles_prev3mo,explosions_remote_prev3mo,target,macro_Abyei,macro_Central/Nile,macro_Darfur,macro_Eastern Sudan,macro_Khartoum,macro_Kordofan,macro_Northern/Nile,predicted_high_risk_probability,predicted_high_risk
Khartoum,Khartoum,2025-04-01,2025-04,2025,4,24,73,262,27,22,24,10,15,2,37,60,12,27,5,,,,34,34,15.512497260273973,32.449136986301376,212,580,53,34,60,49,69,0,126,192,76,58,14,60,7,605,1205,156,175,157,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.999997345433021,1
North Darfur,Darfur,2025-04-01,2025-04,2025,4,24,81,1092,29,8,32,27,12,2,35,69,13,23,9,,,,34,56,13.849374074074072,25.511282716049383,124,952,48,26,40,46,12,0,61,103,55,71,9,39,8,380,3161,136,134,124,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9986709936983503,1
North Kordofan,Kordofan,2025-04-01,2025-04,2025,4,24,41,199,10,7,12,17,5,0,27,39,5,18,4,,,,11,19,13.31770243902439,30.41838536585366,70,215,32,21,8,28,13,0,27,65,37,21,7,22,7,156,458,56,41,47,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9623192770299804,1
South Darfur,Darfur,2025-04-01,2025-04,2025,4,24,20,27,4,4,5,2,9,0,3,16,4,7,6,,,,4,6,12.0656,24.803365,35,50,19,18,5,6,6,0,7,20,21,13,4,9,8,117,248,61,15,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9091578076538096,1
Al Jazirah,Central/Nile,2025-04-01,2025-04,2025,4,24,3,4,1,1,1,0,1,0,2,0,4,3,3,,,,1,2,14.588133333333332,33.3453,48,69,17,15,6,9,18,0,22,42,23,18,7,18,5,377,536,148,49,43,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7070261698832839,1
West Darfur,Darfur,2025-04-01,2025-04,2025,4,24,5,0,2,2,0,0,3,0,0,2,5,3,2,,,,2,0,13.6686,22.43172,11,16,8,8,1,0,2,0,1,7,8,8,4,9,4,26,33,12,3,2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5215736978322032,0
White Nile,Central/Nile,2025-04-01,2025-04,2025,4,24,13,54,5,5,3,4,1,0,7,11,4,9,3,,,,6,6,14.481153846153846,32.080623076923075,18,13,8,8,5,1,4,0,6,15,10,4,4,16,6,133,366,64,25,12,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4124521099685252,0
Blue Nile,Central/Nile,2025-04-01,2025-04,2025,4,24,3,13,1,1,2,0,0,0,3,2,3,3,2,,,,1,2,11.4129,34.0392,19,15,4,0,7,5,7,0,9,16,4,5,6,13,4,33,32,9,13,8,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3255157636679764,0
Central Darfur,Darfur,2025-04-01,2025-04,2025,4,24,6,3,5,5,0,0,0,1,0,0,4,6,5,,,,5,3,12.699416666666666,23.6273,2,0,2,2,0,0,0,0,0,0,2,0,2,2,2,19,9,14,1,2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27275279662058094,0
East Darfur,Darfur,2025-04-01,2025-04,2025,4,24,6,1,2,2,0,0,4,0,1,6,3,3,3,,,,2,1,11.496016666666668,26.101366666666667,12,1,6,5,0,3,3,1,2,5,7,1,6,3,3,37,20,18,4,5,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25954561067589194,0
