month,year_month,events,fatalities,civilian_targeting_events,violence_against_civilians_events,battles,explosions_remote,strategic_developments
2023-04-01,2023-04,454,1125,71,51,249,37,96
2023-05-01,2023-05,616,1781,148,131,285,26,149
2023-06-01,2023-06,559,2576,149,111,267,60,102
2023-07-01,2023-07,670,1672,153,135,365,39,110
2023-08-01,2023-08,852,2786,139,106,464,107,166
2023-09-01,2023-09,677,1822,165,108,252,208,99
2023-10-01,2023-10,672,1528,160,75,235,244,109
2023-11-01,2023-11,604,2591,135,89,196,189,115
2023-12-01,2023-12,781,771,153,111,210,256,181
2024-01-01,2024-01,791,980,131,85,231,316,148
2024-02-01,2024-02,637,992,199,186,201,117,128
2024-03-01,2024-03,532,853,154,126,154,117,127
2024-04-01,2024-04,601,915,202,180,168,125,122
2024-05-01,2024-05,501,1013,182,155,124,130,84
2024-06-01,2024-06,503,1585,141,96,143,152,107
2024-07-01,2024-07,488,1008,127,113,165,77,132
2024-08-01,2024-08,620,1009,210,141,105,245,117
2024-09-01,2024-09,710,1840,191,134,186,260,124
2024-10-01,2024-10,897,3688,345,293,204,211,183
2024-11-01,2024-11,699,1840,274,197,115,188,196
2024-12-01,2024-12,705,2576,239,152,166,200,177
2025-01-01,2025-01,782,2420,272,197,162,181,233
2025-02-01,2025-02,719,1869,227,193,219,118,172
2025-03-01,2025-03,608,2035,199,139,146,152,170
2025-04-01,2025-04,326,1981,103,70,100,75,72
